STATION_NAME_RAW,STATION_NAME,NAME_CHANGED?,Complex ID,Latitude,Longitude,Neighborhood,PUMA,Borough
DYCKMAN ST-A,DYCKMAN ST (A),NO,144,40.865491,-73.927271,"Washington Heights, Inwood & Marble Hill ",3801,Manhattan
E 143/ST MARY'S-6,E 143 ST-ST MARY'S ST (6),NAME_ONLY,374,40.808719,-73.907657,"Hunts Point, Longwood & Melrose ",3710,Bronx
E 149 ST-6,E 149 ST (6),NO,373,40.812118,-73.904098,"Hunts Point, Longwood & Melrose ",3710,Bronx
E 180 ST-25,"E 180 ST (2,5)",NO,426,40.841894,-73.873488,"Belmont, Crotona Park East & East Tremont ",3705,Bronx
EAST 105 ST-L,EAST 105 ST (L),NO,137,40.650573,-73.899485,East New York & Starrett City ,4008,Brooklyn
EAST BROADWAY-F,EAST BROADWAY (F),NO,234,40.713715,-73.990173,Chinatown & Lower East Side ,3809,Manhattan
EASTCHSTER/DYRE-5,EASTCHESTER-DYRE AV (5),NAME_ONLY,442,40.8883,-73.830834,"Wakefield, Williamsbridge & Woodlawn ",3702,Bronx
EASTN PKWY-MUSM-23,"EASTERN PKWY-BROOKLYN MUSEUM (2,3)",NAME_ONLY,341,40.671987,-73.964375,"Park Slope, Carroll Gardens & Red Hook ",4005,Brooklyn
ELDER AV-6,ELDER AV (6),NO,369,40.828584,-73.879159,"Castle Hill, Clason Point & Parkchester ",3709,Bronx
ELMHURST AV-MR,"ELMHURST AV (M,R)",NO,266,40.742454,-73.882017,Elmhurst & South Corona ,4107,Queens
EUCLID AV-AC,"EUCLID AV (A,C)",NO,188,40.675377,-73.872106,East New York & Starrett City ,4008,Brooklyn
FAR ROCKAWAY-A,FAR ROCKAWAY-MOTT AV (A),NAME_ONLY,209,40.603995,-73.755405,"Far Rockaway, Breezy Point & Broad Channel ",4114,Queens
FLATBUSH AV-B.C-25,"FLATBUSH AV-BROOKLYN COLLEGE (2,5)",NAME_ONLY,359,40.632836,-73.947642,Flatbush & Midwood ,4015,Brooklyn
FLUSHING AV-G,FLUSHING AV (G),NO,287,40.700377,-73.950234,Bedford-Stuyvesant ,4003,Brooklyn
FLUSHING AV-JM,"FLUSHING AV (J,M)",NO,98,40.70026,-73.941126,Bushwick ,4002,Brooklyn
FLUSHING-MAIN-7,FLUSHING-MAIN ST (7),NAME_ONLY,447,40.7596,-73.83003,"Flushing, Murray Hill & Whitestone ",4103,Queens
